ContactSeq,ContactID,Contact,FirstName,LastName,AccountSeq,Job Title,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone
1133,7b04621b-74ae-4f4e-8270-be8d1911f9f0,Diana Ioselevich,Diana,Ioselevich,1046,Senior Sales Associate,0 Elka Point,Portland,OR,97211,United States,45.5653,-122.6448,503-189-3949
1134,b15f9f3d-18b3-4c88-a711-9eb8c917542c,Michal Dilgarno,Michal,Dilgarno,1125,Software Consultant,194 Manufacturers Circle,Tyler,TX,75705,United States,32.3766,-95.1252,903-234-9509
1135,19e1880e-2227-47d1-8422-314166d919cb,Emmalyn Leftwich,Emmalyn,Leftwich,1131,Health Coach IV,19867 Burrows Crossing,Richmond,VA,23228,United States,37.625,-77.4959,804-811-5935
1136,ef213770-cd15-4c97-b351-33ae80c96212,Hulda Langforth,Hulda,Langforth,1050,Biostatistician IV,71 Surrey Avenue,Glendale,AZ,85305,United States,33.5291,-112.2482,602-807-3976
1137,cbbba6cd-7fcf-4689-aa5d-d3ab1b8bb40a,Jeremie Rennolds,Jeremie,Rennolds,1020,Recruiter,56 Thackeray Street,Houston,TX,77218,United States,29.834,-95.4342,713-811-2353
1138,35f2373e-f8db-4755-8408-e5617404ecdf,Ham Hewes,Ham,Hewes,1042,Teacher,50 Monterey Hill,West Hartford,CT,6127,United States,41.7918,-72.7188,860-287-5585
1139,800161db-cff2-4f2c-b8e4-9aec38878612,Olympia Milsap,Olympia,Milsap,1147,Database Administrator I,9263 Stoughton Avenue,Allentown,PA,18105,United States,40.6934,-75.4712,610-791-3861
1140,1c5df0dc-e89b-486e-bd64-ea43de4879e9,Saraann McMinn,Saraann,McMinn,1040,Systems Administrator IV,221 Novick Trail,New York City,NY,10115,United States,40.8111,-73.9642,212-190-0430
1141,a5122c71-1057-4269-8889-e3dfe0e96d9c,Janelle Ashelford,Janelle,Ashelford,1041,Account Coordinator,1911 Red Cloud Drive,Wichita Falls,TX,76310,United States,33.8581,-98.5755,940-537-7340
1142,5b09b451-fd7a-43e1-9965-2abc66d270e4,Godart Overel,Godart,Overel,1127,Help Desk Operator,9232 Delladonna Crossing,Riverside,CA,92505,United States,33.9228,-117.4867,909-397-1389
1143,68961e32-51d1-4978-876f-db1585f15551,Dolley Lait,Dolley,Lait,1021,Editor,8 Old Shore Park,Pittsburgh,PA,15215,United States,40.5048,-79.9138,412-219-4158
1144,78ca670a-22a3-44a2-b800-0e5a5b964815,Leia Guidone,Leia,Guidone,1104,Staff Accountant I,01328 Aberg Circle,Orlando,FL,32813,United States,28.5679,-81.3258,407-420-7993
1145,753e31d3-5789-4a2e-a9a5-3065e6daebe0,Pierre Jeannequin,Pierre,Jeannequin,1056,Editor,4076 Gale Alley,San Antonio,TX,78205,United States,29.4237,-98.4925,210-536-8612
1146,176dfac6-c6d7-4e71-9dfa-328ee26427b4,Gunther Edinborough,Gunther,Edinborough,1135,Data Coordiator,4 Petterle Way,Hialeah,FL,33018,United States,25.9098,-80.3889,305-895-4394
1147,7c72adaa-99be-4adc-b6d7-d2f60818785e,Jaimie Sleicht,Jaimie,Sleicht,1031,Cost Accountant,61788 Summerview Pass,Birmingham,AL,35225,United States,33.5446,-86.9292,205-137-7407
1148,faa2a183-451a-464a-9d79-8f7419418c18,Cecil Glander,Cecil,Glander,1058,Senior Quality Engineer,00509 4th Circle,Fairfax,VA,22036,United States,38.7351,-77.0796,571-344-2103
1149,1bab467a-691a-42b3-a1ca-70f946992aae,Pat Akroyd,Pat,Akroyd,1128,Software Consultant,485 Saint Paul Pass,Dallas,TX,75358,United States,32.7942,-96.7652,214-662-3584
1150,246f217c-0e75-48c6-8687-3abcf51c8bff,Renado Seamen,Renado,Seamen,1088,VP Quality Control,85 Randy Drive,New York City,NY,10039,United States,40.8265,-73.9383,212-949-8279
1151,cb8c64f3-5dd2-429c-b76b-0c932f7b670a,Brittaney Screaton,Brittaney,Screaton,1118,Occupational Therapist,22944 Thompson Center,Memphis,TN,38181,United States,35.2017,-89.9715,901-726-4258
1152,d89b9e7e-c6cb-4f59-b3cf-a6e1973a6ac6,Janos Bowlesworth,Janos,Bowlesworth,1074,Legal Assistant,9410 Dryden Pass,Lubbock,TX,79415,United States,33.6021,-101.876,806-316-5163
1153,50e0ea0c-47eb-4773-8fae-577ee3a66935,Jerald Gaveltone,Jerald,Gaveltone,1115,Nurse,5935 Grover Alley,Washington,DC,20591,United States,38.8933,-77.0146,202-862-0225
1154,2cbb788f-d773-4017-ad3d-9694954251cd,Mendie Botcherby,Mendie,Botcherby,1072,Accounting Assistant I,862 Linden Hill,Denver,CO,80204,United States,39.734,-105.0259,720-352-4330
1155,cefba1f7-5845-403c-a6e2-ae0133a646e9,Renault Gobell,Renault,Gobell,1135,Human Resources Assistant II,4 Ruskin Road,El Paso,TX,88589,United States,31.6948,-106.3,915-221-1338
1156,c914e1b2-ffeb-40a3-9742-bf2d71a7c0f6,Angie Butten,Angie,Butten,1046,Paralegal,68101 Namekagon Way,Houston,TX,77201,United States,29.834,-95.4342,832-921-5577
1157,e3a89101-3599-44f2-83fe-faae66f62c98,Merry Buffy,Merry,Buffy,1080,General Manager,273 Veith Street,Lexington,KY,40505,United States,38.0612,-84.4583,859-739-6544
1158,6bb681a5-8e61-4cbf-afe9-c34ecef62a06,Freeman Stoffler,Freeman,Stoffler,1010,Civil Engineer,74 Garrison Avenue,El Paso,TX,79945,United States,31.6948,-106.3,915-507-5823
1159,b7e53874-9ec7-4483-8e84-9551d006019e,Jacquette Stilwell,Jacquette,Stilwell,1147,Legal Assistant,6 John Wall Plaza,Albuquerque,NM,87201,United States,35.0443,-106.6729,505-420-4336
1160,b97f5f74-f434-4b02-aa71-8f0861c9dd2c,Alphard Pascho,Alphard,Pascho,1108,Programmer II,8 Jay Drive,Roanoke,VA,24004,United States,37.2742,-79.9579,540-921-3166
1161,a7ecedf6-3fa5-4179-ba29-f757cb0ef6f2,Lesley Niche,Lesley,Niche,1111,Payment Adjustment Coordinator,32 Stephen Way,Tacoma,WA,98405,United States,47.2484,-122.4644,253-883-9126
1162,08cffaf4-0e05-456e-a02c-7018c5fc4b74,Lorrie McSkeagan,Lorrie,McSkeagan,1053,Technical Writer,748 Canary Plaza,Newport Beach,CA,92662,United States,33.6062,-117.8931,714-717-9913
1163,46df8a74-2c66-4891-ad19-faf8da6c0874,Belinda Adrianello,Belinda,Adrianello,1099,Recruiter,0 Kipling Circle,Santa Monica,CA,90410,United States,33.7866,-118.2987,310-294-1441
1164,67bba832-c0a1-4140-a852-f0aadd13bac1,Ailis Woollons,Ailis,Woollons,1125,Engineer I,55424 Hollow Ridge Parkway,Bronx,NY,10464,United States,40.8469,-73.7874,917-695-5109
1165,b4d5aab5-1ca9-4ef1-81b8-8fc532f73c20,Dirk O'Dyvoie,Dirk,O'Dyvoie,1032,Senior Developer,92 Bartelt Terrace,Canton,OH,44710,United States,40.7911,-81.4169,330-286-4105
1166,e6e87780-a867-4eb2-a2b0-076380964dbb,Helenelizabeth O'Lenane,Helenelizabeth,O'Lenane,1013,Marketing Assistant,70534 Doe Crossing Road,Erie,PA,16505,United States,42.1109,-80.1534,814-944-7141
1167,aa8c209b-73d3-4b79-8eed-5951aaa3ee44,Adriano Toone,Adriano,Toone,1041,Teacher,887 Mcguire Trail,Springfield,MO,65805,United States,37.2581,-93.3437,417-125-8000
1168,2a983401-ae3d-4089-8a86-630c04829e3d,Ossie MacMoyer,Ossie,MacMoyer,1045,Accounting Assistant IV,9 Thackeray Way,Columbia,SC,29215,United States,34.006,-80.9708,803-266-0105
1169,3f1ac674-d3ab-4a81-bb34-ec360f28e326,Fonz Dyball,Fonz,Dyball,1131,Geological Engineer,4 Randy Park,Anchorage,AK,99522,United States,61.1089,-149.4403,907-347-6504
1170,3235de12-a22e-4bd7-940d-4268f99a5625,Helga Gilchrest,Helga,Gilchrest,1050,Office Assistant I,80 Summerview Street,Omaha,NE,68197,United States,41.249,-96.0274,402-909-3698
1171,4528b3c9-0d87-4934-845a-76d74eef1b44,Sergent Caffery,Sergent,Caffery,1135,Assistant Professor,016 Schurz Trail,Atlanta,GA,30356,United States,33.8913,-84.0746,404-818-0156
1172,ed37f616-8b13-44b0-854e-7a3577b21bf3,Winfred Duke,Winfred,Duke,1137,VP Quality Control,5008 Talmadge Center,Sacramento,CA,95852,United States,38.6026,-121.4475,916-401-2262
1173,3e8c1f2a-9f35-415f-87fe-3bc085089768,Paten Larway,Paten,Larway,1073,VP Quality Control,7 Center Avenue,Atlanta,GA,30316,United States,33.7217,-84.3339,404-182-3875
1174,7c114611-a2cf-4fe8-b0a8-249c77ffaed6,Viviyan Mullally,Viviyan,Mullally,1066,Clinical Specialist,112 Hallows Way,Amarillo,TX,79116,United States,35.2454,-101.999,806-469-9729
1175,ff7f4a4f-b462-4fb9-85f9-3a722c5f64ef,Carny Furmston,Carny,Furmston,1134,Research Assistant IV,697 Division Way,Denton,TX,76205,United States,33.1903,-97.1282,940-289-7685
1176,40322537-5079-461f-bcaf-f84fb46f7c9c,Valle Fettis,Valle,Fettis,1144,Financial Analyst,971 Kedzie Trail,Saint Petersburg,FL,33731,United States,27.8918,-82.7248,727-826-8933
1177,2b5d5165-d98c-4672-8a94-2acf8f08fc24,Desi Khadir,Desi,Khadir,1097,Product Engineer,2577 Red Cloud Avenue,Springfield,IL,62711,United States,39.7655,-89.7293,217-340-9585
1178,6cd8dcf3-6090-468c-8388-7377d80a1417,Graeme Crombleholme,Graeme,Crombleholme,1107,Registered Nurse,977 Towne Lane,San Antonio,TX,78255,United States,29.6701,-98.6873,210-853-0980
1179,bf85e715-1540-4a78-8137-e1bbd59f0304,Berny Peevor,Berny,Peevor,1007,Geologist III,274 Orin Way,Tacoma,WA,98424,United States,47.2325,-122.3594,253-966-3353
1180,9bf3aace-ffdc-405f-8dfb-3ada5a5e1deb,Beatrix Whicher,Beatrix,Whicher,1027,VP Marketing,83010 Spohn Crossing,Los Angeles,CA,90040,United States,33.9909,-118.1532,760-873-2438
1181,29c23286-6bf0-484f-a173-46516eb87d72,Junina Roddam,Junina,Roddam,1002,Product Engineer,2 Knutson Hill,Monticello,MN,55590,United States,45.2009,-93.8881,763-957-5230
1182,f7815d27-d69e-4fb2-9517-0e8f5abb77c6,Sharyl Pennick,Sharyl,Pennick,1035,Occupational Therapist,3 Warner Terrace,Austin,TX,78732,United States,30.3752,-97.9007,512-911-8536
1183,4fd47968-4f10-4372-8e6c-011536ef5b69,Virge Jillings,Virge,Jillings,1107,Tax Accountant,15582 Cardinal Pass,Cincinnati,OH,45218,United States,39.2663,-84.5221,513-719-5473
1184,ed3bbda8-c88a-47c5-877b-57a2e2c1b695,Hart Millson,Hart,Millson,1122,Executive Secretary,8218 Marcy Lane,Winston Salem,NC,27157,United States,36.0275,-80.2073,336-552-9181
1185,49b6b035-1ab0-4449-8a0d-46cbcc8e7fd3,Margarethe Hincks,Margarethe,Hincks,1106,Account Coordinator,01 Mccormick Crossing,Gainesville,FL,32610,United States,29.6813,-82.3539,352-928-0079
1186,7a85e339-ff8f-4799-93fc-e0cfd1025500,Waylen Pentlow,Waylen,Pentlow,1056,Payment Adjustment Coordinator,4 Milwaukee Place,Hartford,CT,6183,United States,41.7638,-72.673,860-193-6276
1187,498e0eaf-b8e9-42d7-95ff-9e35ff278903,Albie Haydney,Albie,Haydney,1136,Technical Writer,085 Elmside Crossing,Odessa,TX,79764,United States,31.8767,-102.4375,432-303-2663
1188,99054ac6-9bf8-4239-a2f9-6bd8fb0ca7d4,Marietta Norton,Marietta,Norton,1089,Legal Assistant,968 Prairieview Point,Washington,DC,20205,United States,38.905,-77.0162,202-823-2737
1189,3684b561-f795-4503-864a-d91307185f2b,Donall Normanell,Donall,Normanell,1001,Librarian,5865 Sachs Street,Charlotte,NC,28215,United States,35.244,-80.7387,704-220-6410
1190,91f7e6cb-7365-4b05-86cf-a90d536ce78d,Genni Fishe,Genni,Fishe,1053,Quality Engineer,768 Dixon Alley,Sacramento,CA,95838,United States,38.6406,-121.444,916-359-8282
1191,74da8e56-8795-45d4-925b-d31e4f995d62,Dex Bencher,Dex,Bencher,1135,Payment Adjustment Coordinator,31 Northport Center,Macon,GA,31217,United States,32.8118,-83.565,912-301-5147
1192,7a58c6cc-a49a-4a34-8b4f-01c43949097e,Marguerite Wallis,Marguerite,Wallis,1085,Financial Advisor,806 Sutherland Pass,Seattle,WA,98127,United States,47.6063,-122.3308,206-607-6814
1193,73a971eb-4fef-4443-9ef7-de3779e8d116,Gwendolen Godspeede,Gwendolen,Godspeede,1075,Business Systems Development Analyst,2 Donald Crossing,Orange,CA,92862,United States,33.7915,-117.714,714-658-7934
1194,2364fb56-ed87-4c70-9c1b-dcd0a1d04203,Felizio Mortlock,Felizio,Mortlock,1024,VP Marketing,9 Green Circle,Arlington,VA,22244,United States,38.8545,-77.052,571-714-3727
1195,3e388a0d-f1b0-421c-b03c-1565317049ac,Brandyn Goligly,Brandyn,Goligly,1049,Design Engineer,4970 Spohn Road,Orlando,FL,32859,United States,28.4429,-81.4026,407-730-8623
1196,cbd21b0e-c881-4606-8b7f-1fe67ccd8a01,Susette Cristoferi,Susette,Cristoferi,1000,Health Coach III,0474 Briar Crest Center,Amarillo,TX,79116,United States,35.2454,-101.999,806-918-4355
1197,9a3e1853-cbb3-4a63-8b9c-77c23a688fbe,Margarita Gainsborough,Margarita,Gainsborough,1133,Systems Administrator II,7 Helena Point,Los Angeles,CA,90060,United States,33.7866,-118.2987,323-294-5380
1198,fdb7cc70-018f-4c43-ab51-809f9ae969e1,Carlie Hansman,Carlie,Hansman,1040,Registered Nurse,868 Kinsman Parkway,Irvine,CA,92710,United States,33.7074,-117.8403,714-783-7840
1199,4f3dcb1c-6251-49ee-920a-ab2661bf0689,Fairlie Spuner,Fairlie,Spuner,1013,Staff Accountant I,466 Nevada Place,Tulsa,OK,74103,United States,36.1539,-95.9954,918-879-9566
1200,378ec38b-1f62-47fa-8a6b-44d913aebec8,Anni Medway,Anni,Medway,1043,Environmental Tech,163 Emmet Point,El Paso,TX,88519,United States,31.6948,-106.3,915-919-0397
1201,772436ab-b452-4b99-87f3-3bcf33b9961f,Cari Bantock,Cari,Bantock,1130,Electrical Engineer,66 Forest Run Terrace,San Diego,CA,92105,United States,32.7423,-117.0947,619-598-8633
1202,d3aa2ed7-1a2f-427e-b20e-267d30479031,Electra Willcock,Electra,Willcock,1100,Human Resources Assistant IV,07 Thackeray Trail,Washington,DC,20425,United States,38.8933,-77.0146,202-404-3839
1203,e6cba8a7-bca6-4c31-90e8-482d587946a2,Deeann Grishunin,Deeann,Grishunin,1110,Programmer Analyst III,7 Shelley Trail,Tampa,FL,33620,United States,28.06,-82.4079,813-507-5864
1204,979340a3-0a89-417d-b226-cda32e07aca7,Johannah Luckhurst,Johannah,Luckhurst,1037,Community Outreach Specialist,7 Graedel Parkway,Stamford,CT,6912,United States,41.3089,-73.3637,203-560-7257
1205,960c7c16-aa4e-4478-8f35-5700cea15a64,Devora Caulcott,Devora,Caulcott,1147,Senior Sales Associate,4 Cordelia Crossing,Philadelphia,PA,19136,United States,40.0422,-75.0244,215-267-6926
1206,68ccaa39-cdb1-48a9-a066-fed723c0813e,Allistir Yeend,Allistir,Yeend,1024,Research Assistant IV,84530 Dwight Place,Richmond,VA,23285,United States,37.5242,-77.4932,804-685-5489
1207,0f2b00a8-5dce-409d-8c32-a9d01ff0b472,Loree Robe,Loree,Robe,1041,Sales Associate,63 Oneill Point,Toledo,OH,43699,United States,41.6538,-83.6589,419-969-5595
1208,15989ec9-9689-4731-8e6a-796dd0fc8137,Gram Chell,Gram,Chell,1020,Electrical Engineer,72 Dryden Trail,Phoenix,AZ,85030,United States,33.2765,-112.1872,602-567-2250
1209,05fbcf06-5a1f-43ee-98f2-4c866a37d98a,Tarra Bryning,Tarra,Bryning,1088,Accounting Assistant II,3906 Cambridge Way,Honolulu,HI,96845,United States,21.3278,-157.8294,808-366-1978
1210,be8d370d-c48c-4e02-919e-dd74cfac6ec9,Hartwell Lacotte,Hartwell,Lacotte,1051,Staff Scientist,98413 Macpherson Park,Saint Petersburg,FL,33715,United States,27.6705,-82.7119,727-981-8033
1211,70e2d2c3-b279-4dfa-a70b-03f2580b8ff5,Dorette Corrison,Dorette,Corrison,1114,Physical Therapy Assistant,3 Bluejay Circle,Buffalo,NY,14205,United States,42.7684,-78.8871,716-373-6393
1212,54836fa7-363a-4975-897e-bf63f17a1cf5,Gusta Huxley,Gusta,Huxley,1061,Biostatistician II,862 Nobel Court,Richmond,VA,23237,United States,37.4011,-77.4615,804-358-2524
1213,54545dd9-8e7c-4755-aded-5390ce180eac,Roi Saxton,Roi,Saxton,1148,Graphic Designer,39 Spenser Junction,Dallas,TX,75353,United States,32.7673,-96.7776,214-176-3862
1214,058d2f22-ed5c-4abe-a6d2-8f8f77c6ff7d,Janean Poone,Janean,Poone,1076,Nurse,6 Orin Junction,Las Vegas,NV,89140,United States,36.086,-115.1471,702-888-5411
1215,18e49ec4-a39e-4d88-a268-026ad2f86e93,Drud Furtado,Drud,Furtado,1016,Marketing Manager,734 Johnson Crossing,Fresno,CA,93704,United States,36.7991,-119.8016,209-166-3883
1216,e1ab4a32-c6b1-49f3-b9b2-e0a44788f80f,Ynes Buckingham,Ynes,Buckingham,1047,Sales Associate,752 Warner Point,Louisville,KY,40293,United States,38.189,-85.6768,502-686-7722
1217,da59c081-173d-4558-91c5-d85a8b0d88f3,Nata Puttock,Nata,Puttock,1116,Director of Sales,2 Rowland Hill,Norfolk,VA,23551,United States,36.9312,-76.2397,757-377-1674
1218,5575df39-a801-46d3-8c75-32bed9b61706,Oralla Talbot,Oralla,Talbot,1052,Quality Control Specialist,385 Kinsman Lane,Cincinnati,OH,45999,United States,39.1668,-84.5382,513-356-9012
1219,f07691f6-3dd3-4bff-8f4f-968fbb7bb363,Lazarus Dyka,Lazarus,Dyka,1051,Internal Auditor,6 Melby Plaza,Shreveport,LA,71105,United States,32.4589,-93.7143,318-798-1669
1220,9fc5bab0-f0c5-4bdf-a915-98b4efa856f6,Augusto Wharmby,Augusto,Wharmby,1037,Software Test Engineer III,895 Golf View Crossing,Saint Petersburg,FL,33715,United States,27.6705,-82.7119,727-209-0599
1221,2b42e498-3448-43ce-9c20-d9f4cd337020,Kennedy Hare,Kennedy,Hare,1104,Tax Accountant,4 Ruskin Crossing,Johnson City,TN,37605,United States,36.3158,-82.3838,423-283-0319
1222,7b1d2d51-56ea-44fb-817c-2472c95e9341,Alayne Mc Faul,Alayne,Mc,1040,Database Administrator II,7309 Corscot Road,Tampa,FL,33625,United States,28.0726,-82.559,727-342-7128
1223,555dda52-3e5c-4946-971d-9b14f9b59dbd,Gloriane Woliter,Gloriane,Woliter,1032,VP Quality Control,85 7th Road,El Paso,TX,88579,United States,31.6948,-106.3,915-106-2392
1224,8e73c55c-9860-4811-a980-ebb354634964,Bird Marciek,Bird,Marciek,1042,Budget/Accounting Analyst III,42 Mariners Cove Lane,Racine,WI,53405,United States,42.7161,-87.8233,262-285-3523
1225,951eb5e6-f75e-47f5-bb1d-b5a2725ac9c7,Kathy Dorsett,Kathy,Dorsett,1090,Health Coach I,08390 Muir Lane,Anchorage,AK,99517,United States,61.1901,-149.9361,907-875-6267
1226,3b741b47-7ab6-4f2c-932d-3568fc135e33,Fernandina Digwood,Fernandina,Digwood,1136,Assistant Manager,74757 Sutteridge Pass,Springfield,MA,1129,United States,42.1223,-72.4876,413-344-3731
1227,3fc36005-12cb-42c8-8cfc-7dd8ed82f635,Felipe Mauser,Felipe,Mauser,1074,Chemical Engineer,649 Ilene Trail,Montpelier,VT,5609,United States,44.2595,-72.585,802-975-6949
1228,15eae650-256e-4291-9f65-d440040b5692,Abelard Dacca,Abelard,Dacca,1001,Administrative Officer,7 Grim Avenue,Philadelphia,PA,19184,United States,40.0018,-75.1179,215-635-7268
1229,3f89a3ff-c8c5-4de0-ba8e-2f234d5802a3,Lexine McRinn,Lexine,McRinn,1114,Financial Advisor,900 Warner Pass,Salt Lake City,UT,84120,United States,40.695,-112.0001,801-613-1439
1230,a4c01bdc-1478-4663-8c50-93b3de6203a4,Roma Brumble,Roma,Brumble,1055,Human Resources Assistant I,22 Holmberg Park,Schenectady,NY,12305,United States,42.8161,-73.9398,518-527-9500
1231,4598e308-c5cb-4e2c-9d66-8f9a72f6048c,Gale Fellis,Gale,Fellis,1018,Research Nurse,8090 Forster Terrace,Jackson,MS,39210,United States,32.3218,-90.1771,601-271-5804
1232,f517ee22-a48b-4342-8256-9b5cd4e93251,Chiquia Klouz,Chiquia,Klouz,1100,Account Representative II,1633 Gateway Road,Bronx,NY,10464,United States,40.8469,-73.7874,917-291-6176
1233,15058cb1-a687-41dc-8e11-31652f41e680,Gnni Catt,Gnni,Catt,1038,Financial Advisor,5517 Merrick Center,San Francisco,CA,94121,United States,37.7786,-122.4892,858-625-1112
1234,b2c9401c-d045-4619-a2c8-d4a16aa68edd,Darius Britnell,Darius,Britnell,1071,Web Designer III,036 Ruskin Alley,Fort Worth,TX,76110,United States,32.7065,-97.3375,682-211-7785
1235,6487f29a-3196-401c-bf44-89a0409b7d84,Alejoa Leithgoe,Alejoa,Leithgoe,1015,Health Coach I,033 Oak Place,Pomona,CA,91797,United States,33.7866,-118.2987,909-855-8530
1236,82fc2413-3e07-4228-8d03-2f3928cb4f25,Bernetta Buckthought,Bernetta,Buckthought,1006,Civil Engineer,4 Pleasure Hill,Oakland,CA,94622,United States,37.799,-122.2337,510-822-5344
1237,f2376f45-25b5-49db-b71c-7ee440eae3e9,Jo Currer,Jo,Currer,1140,Database Administrator IV,8 Southridge Point,Gainesville,GA,30506,United States,34.3562,-83.8882,678-946-1642
1238,b73f16a3-56dc-4483-a109-816471f2d800,Clint Ambrogio,Clint,Ambrogio,1095,Research Nurse,91232 Kenwood Alley,Amarillo,TX,79176,United States,35.1885,-101.8165,806-735-3238
1239,cc224c8f-57a2-4116-bf63-c246a24d9198,Hatti Rex,Hatti,Rex,1101,Compensation Analyst,4 Loftsgordon Pass,Akron,OH,44305,United States,41.076,-81.4644,330-382-4249
1240,17248db8-ec00-4934-bf2b-36157c3f4515,Elane Kimpton,Elane,Kimpton,1145,Legal Assistant,7 Veith Place,New York City,NY,10260,United States,40.7808,-73.9772,212-510-5071
1241,19a8ac8f-9994-450f-9267-37508c558be9,Morly Brockie,Morly,Brockie,1069,Account Representative II,1806 Dorton Circle,Richmond,VA,23277,United States,37.5535,-77.4604,804-677-3545
1242,03c2a2d2-3250-4e98-acef-a2cb4058e190,Jere Sazio,Jere,Sazio,1056,Senior Financial Analyst,91 Rieder Center,Richmond,CA,94807,United States,37.7772,-121.9554,510-841-3145
1243,540b3ffd-a715-4fc0-937a-7eeccc1d5da8,Ricardo Tanzig,Ricardo,Tanzig,1101,Environmental Tech,3 Lukken Junction,Philadelphia,PA,19109,United States,39.9496,-75.1637,267-194-0710
1244,90e64e50-e9ff-4f94-a873-452755ffb81f,Clementia Dable,Clementia,Dable,1052,Developer I,4643 Duke Parkway,Sacramento,CA,95833,United States,38.6157,-121.5053,916-551-3538
1245,3c2fd432-4faf-40fe-a37a-5bb1f4dd2f6d,Leroi Eastby,Leroi,Eastby,1070,Senior Editor,9 Lillian Parkway,Midland,TX,79705,United States,32.0295,-102.0915,432-264-2647
1246,62448b78-b010-4421-b920-93e03b7dc996,Lena Blaksland,Lena,Blaksland,1011,Recruiter,400 Roxbury Alley,Santa Ana,CA,92705,United States,33.754,-117.7919,213-737-8053
1247,cef34484-1dde-46ad-9a17-9c792161922f,Joletta Reeve,Joletta,Reeve,1108,Social Worker,2980 Kennedy Parkway,Greensboro,NC,27404,United States,36.0807,-80.0244,336-350-8351
1248,1a292bc7-ecc1-4f47-bac0-523be7bef596,Lorianne Alwen,Lorianne,Alwen,1028,Research Assistant III,9094 Alpine Point,San Antonio,TX,78235,United States,29.3494,-98.4422,210-183-2143
1249,ce6b2c56-ac28-4abd-b4ad-b48f525cda44,Delainey Gristwood,Delainey,Gristwood,1026,Senior Editor,40335 Lakeland Lane,San Francisco,CA,94116,United States,37.7441,-122.4863,415-606-0743
1250,d30a5305-b4d5-4b81-b0a2-ad5f17e88545,Yard Hymer,Yard,Hymer,1030,Data Coordiator,2 Granby Terrace,Midland,TX,79705,United States,32.0295,-102.0915,432-158-0971
1251,ca195c99-844e-4f0a-b754-5110bc8a9dcf,Don Prue,Don,Prue,1052,Occupational Therapist,47 Hudson Avenue,El Paso,TX,79989,United States,31.6948,-106.3,915-858-0014
1252,70ae7e7b-e440-4027-8e17-e25e85473cdc,Claude Deyenhardt,Claude,Deyenhardt,1083,Paralegal,45 Hollow Ridge Avenue,Austin,TX,78769,United States,30.3264,-97.7713,512-555-0686
1253,4c8b3126-cd76-4c42-b444-1a9e0de81e8e,Bambi Cawthry,Bambi,Cawthry,1003,Engineer IV,5169 Holmberg Lane,Fort Worth,TX,76198,United States,32.7714,-97.2915,682-722-8298
1254,b9a839b0-e0ce-4045-ba61-ff0ee7d7ca6f,Nelle Gorthy,Nelle,Gorthy,1089,Nurse Practicioner,758 Lotheville Lane,Philadelphia,PA,19093,United States,40.0018,-75.1179,215-852-3484
1255,6f3165bb-ad5f-4c67-ba3a-ccd2635be9c5,Sherri Giotto,Sherri,Giotto,1023,Mechanical Systems Engineer,6724 Spenser Street,Salt Lake City,UT,84120,United States,40.695,-112.0001,801-869-1276
1256,829df2ea-fdf9-4a0f-a096-5164b85a0294,Licha Butters,Licha,Butters,1010,Marketing Assistant,25294 Prairie Rose Center,Louisville,KY,40256,United States,38.189,-85.6768,502-341-0367
1257,a3b5e884-ddbb-4a34-ab8b-572dca074bba,Linoel Stiles,Linoel,Stiles,1051,Nurse Practicioner,41470 Emmet Point,Nashville,TN,37220,United States,36.0641,-86.7697,615-888-2444
1258,bc134b41-667f-4949-a98b-66cad9b4f3bc,Pamelina Errett,Pamelina,Errett,1049,Staff Accountant II,7 Talmadge Hill,Boston,MA,2203,United States,42.3615,-71.0604,617-371-3067
1259,fdea5c32-5dce-4d2d-a27f-1a3ae1c2c928,Guillema Leeke,Guillema,Leeke,1039,Research Nurse,85997 New Castle Hill,Portland,ME,4109,United States,43.6783,-70.1987,207-279-4022
1260,85ad5469-58a4-4a98-a0a5-4fac2be0dd50,Sidnee Last,Sidnee,Last,1028,Data Coordiator,8 American Ash Court,Washington,DC,20425,United States,38.8933,-77.0146,202-968-4191
1261,0ceb48e1-03f0-46ff-9dea-abfef9c54c53,Dee Duffield,Dee,Duffield,1100,Electrical Engineer,695 Gina Center,Rochester,NY,14624,United States,43.1216,-77.7311,585-642-3832
1262,816be781-67ba-4a97-b442-e09a60b3a36e,Axel Hazlewood,Axel,Hazlewood,1050,Human Resources Assistant II,17604 Eastwood Hill,Gulfport,MS,39505,United States,30.4158,-89.0684,228-468-0385
1263,9326e5d0-4e07-46ed-9395-87754c9c7022,Ellery Philipps,Ellery,Philipps,1055,VP Product Management,83 Hallows Alley,Houston,TX,77234,United States,29.834,-95.4342,713-141-6800
1264,df0898fc-9399-400e-be26-8a77fdc2042a,Etan Brookwood,Etan,Brookwood,1106,Operator,888 Orin Center,Albany,NY,12222,United States,42.6853,-73.8253,518-568-3065
1265,8aece1a1-4f70-45d0-bd4f-34ae788a6cb6,Kylie Jeannon,Kylie,Jeannon,1078,Environmental Specialist,58699 Donald Junction,College Station,TX,77844,United States,30.6521,-96.341,979-533-4413
1266,41c0c173-8b99-475a-9e5d-59a5d2e13eb0,Eziechiele Cutriss,Eziechiele,Cutriss,1123,Senior Editor,7 Kim Crossing,El Paso,TX,79984,United States,31.6948,-106.3,915-115-0696
